species,emsConcentration,soakDuration,lowestTemp,highestTemp,result
Cotton - Luyanmian21,0.5,360,20,32,0
Cotton - Luyanmian21,1.5,360,20,32,1
Cotton - Luyanmian21,2.5,360,20,32,0
Cotton - Luyanmian21,3.5,360,20,32,0
Sesame - Tilottama,0.25,120,23,25,0
Sesame - Tilottama,0.25,240,23,25,0
Sesame - Tilottama,0.25,360,23,25,0
Sesame - Tilottama,0.50,120,23,25,0
Sesame - Tilottama,0.50,240,23,25,0
Sesame - Tilottama,0.50,360,23,25,1
Sesame - Tilottama,1.00,120,23,25,0
Sesame - Tilottama,1.00,240,23,25,1
Sesame - Tilottama,1.00,360,23,25,1
Chinese cabbage - Brassica rapa ssp. pekinensis,0.5,720,4,25,1
Chinese cabbage - Brassica rapa ssp. pekinensis,0.3,480,4,20,0
Chinese cabbage - Brassica rapa ssp. pekinensis,0.7,1440,5,25,1
Chinese cabbage - Brassica rapa ssp. pekinensis,0.1,360,3,18,0
Chinese cabbage - Brassica rapa ssp. pekinensis,1.0,2880,4,28,1
Jasmine - Jasminum grandiflorum,0.25,60,28,30,1
Jasmine - Jasminum grandiflorum,0.30,60,28,30,1
Jasmine - Jasminum grandiflorum,0.35,60,28,30,0
Jasmine - Jasminum grandiflorum,0.40,60,28,30,0
Maize - Zea mays (B73),1.0,120,25,30,1
Maize - Zea mays (B73),0.5,240,25,30,0
Maize - Zea mays (B73),0.7,480,25,30,1
Maize - Zea mays (B73),1.2,720,25,30,0
Sunflower - Helianthus annuus (BBS-1),0.5,480,22,25,1
Sunflower - Helianthus annuus (BBS-1),0.6,480,22,25,1
Sunflower - Helianthus annuus (BBS-1),0.75,480,22,25,0
Sunflower - Helianthus annuus (BBS-1),1.0,480,22,25,0
Sunflower - Helianthus annuus (BBS-1),2.0,480,22,25,0
Sunflower - Helianthus annuus (BBS-1),3.0,480,22,25,0
Fenugreek - Trigonella foenum-graecum,0.1,360,25,30,1
Fenugreek - Trigonella foenum-graecum,0.2,360,25,30,1
Fenugreek - Trigonella foenum-graecum,0.3,360,25,30,0
Fenugreek - Trigonella foenum-graecum,0.4,360,25,30,0
Hyoscyamus niger - Black Henbane,0.01,60,25,28,1
Hyoscyamus niger - Black Henbane,0.02,60,25,28,1
Hyoscyamus niger - Black Henbane,0.03,60,25,28,1
Hyoscyamus niger - Black Henbane,0.04,60,25,28,0
Hyoscyamus niger - Black Henbane,0.05,60,25,28,0
Hyoscyamus niger - Black Henbane,0.06,60,25,28,0
Hyoscyamus niger - Black Henbane,0.07,60,25,28,0
Hyoscyamus niger - Black Henbane,0.08,60,25,28,0
Hyoscyamus niger - Black Henbane,0.09,60,25,28,0
Hyoscyamus niger - Black Henbane,0.1,60,25,28,0
